蓝光测试,#genre#
凤凰资讯蓝光1,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰资讯蓝光3,http://223.110.241.131:6610/cntv/live1/HD-2500k-1080P-fhzixun/HD-2500k-1080P-fhzixun
凤凰卫视蓝光3,http://223.110.241.131:6610/cntv/live1/HD-2500k-1080P-fhchinese/HD-2500k-1080P-fhchinese
凤凰香港蓝光1,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰香港蓝光2,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
纯享4K,http://111.12.102.68:6610/PLTV/77777777/224/3221225726/index.m3u8?
百事4K频道,http://112.17.40.145/PLTV/88888888/224/3221226718/index.m3u8
爱上4K频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4K蓝码,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
CCTV-4K高码1,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K高码2,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K高码3,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
CCTV-1蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-2蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2蓝光3,http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光2,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV-3蓝光2,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-5蓝光1,http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-5蓝光2,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5+蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+蓝光3,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6蓝光1,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光2,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-7蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7蓝光3,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8蓝光2,http://223.110.247.161:6610/cntv/live1/HD-2500k-1080P-cctv8/HD-2500k-1080P-cctv8
CCTV-8蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10蓝光3,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV-11蓝光3,http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?回看=http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm
CCTV-12蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV-12蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV-13蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV-13蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-14蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV-14蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-14蓝光3,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-15蓝光1,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-15蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?
CCTV-17蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-17蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV-17蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?


北京卫视蓝光1,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京冬奥蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥蓝光2,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
天津卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
