公告,#genre# 
以下节目需要,
翻山越岭,
先开qv软件才,
可以稳定收看,
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿央視,#genre# 
CCTV1,tvbus://8bQsn6pTCh3bitB9Q65tMZ9Cab93f7REd2GS3mnp5hoeb8qRUR
CCTV2,tvbus://6xgkn6ePweLWnUqj3CgZq5xTy2EoY5kUMD4seDnuFCyGxpE7dR
CCTV3,tvbus://8bFmdBSP9hs6rvBnyXqmYftzmXndeQx5WuN7Zodq4JWj56f7c1
CCTV4,tvbus://7mHfVLJKX65jWouFciywG1bLEUfgbkHbXW1S1sgG27PReqzDkK
CCTV5,tvbus://7whsPoyYAZGehc2U15ymskGpMZLDmiusjwNETijMqTyCBhBmoJ
CCTV5+,tvbus://84w3snbnVQiK7H7w2UnCmsiLEN39ZqvFTQHaJFuEGamvspf2sR
CCTV6,tvbus://6uh4tNggkv1ao71Dc3eWiKW54dmx8ZXCkFQGHB7SfhAhNAXtC5
CCTV7,tvbus://7q9HFQQq4vCY1jjRFHQZqNhNt5B7XvEotZaXm6KSfrMALcKRka
CCTV8,tvbus://8eYqTjdfgo9ea6Dd5Sdz2pWtkbeR92Ypy5EKEXyzkAUFb1BL7S
CCTV9,tvbus://8TDjv4tYwmrKGch8XJYKGvyDZy23sbu8tgeVRuV73XCwRigix4
CCTV10,tvbus://6tSbNGXUBPKa1fg2VgVJ4Xueyc4jzrT5dG29x5vUqwETmSkLEj
CCTV11,tvbus://8cmFH7W3xTLtusB9LHgG9QFZCM8JmXHtHqbhXXcVK6db2PSfTW
CCTV12,tvbus://7m2px4vbeTPKJ6rBXySvLFLomcrtBL3VJ7z8jV4qRNfwUEYdJe
CCTV13,tvbus://72VVtkzwoUSVvakREiYSPn2Fm9P3JYZiXzVdCVq6Yevz2Q35sB
CCTV14,tvbus://8AhLrG5nTA6bsiHKSHvFAYRQMvySsaA5u2GiMTgCwNUfLX5UEw
CCTV15,tvbus://8eXCHssrBizb53M4B36FDuSwW1diXiWhFC32yQJ3sTHsgyXTtw
CCTV17,tvbus://7V1Gq1fNt7sn16eMVHjATNvLS2tVSx8H34Z1UCZw8wboefVXez
衛視,#genre# 
廣東體育,tvbus://7Lji1R32r9mP2JUzks2rpRwrSrNADbYRjRBsEpV8usFNWUp3FZ
